Path;TimeToSolve;RP;ReplicationDegree;Numkeys;NumWrites;NumThread;NumNodes;WriteXactPercentage;RoundedWriteXactPercentage;ReplicationPercentage;NumReadsPerROXact;NumReadsPerWrXact;NumPutsPerWrXact;Warehouses;Parallelism;CPU;Memory;Throughput;WriteThroughput;ReadThroughput;EarlyAborts;LocalPrepareAborts;RemotePrepareAborts;WriteCommitProbability;TotalCommitProbability;Locality;NodesInCommit;RemoteNodesInCommit;RemoteReadsInROXact;RemoteReadsInWrXact;LockHoldTime;LocalLockHoldTime;LocalSuccessfulLockHoldTime;LocalLocalAbortLockHoldTime;LocalRemoteAbortLockHoldTime;RemoteLockHoldTime;PrepareRtt;CommitAsyncNet;RollbackAsyncNet;RemoteGetRtt;NumReadsAfterFirstWrite;PrepareMessageSize;CommitMessageSize;RollbackMessageSize;RemoteGetMessageSize;RemoteGetReplyMessageSize;LocalCommitWaitTime;NumLocalCommitsWait;NumLocalUpdateCommits;RemoteCommitWaitTime;NumRemoteCommitsWait;RemoteGetWaitTime;NumRemoteGetsWait;NumRemoteGets;TotalResponseTimeWrXact;TotalResponseTimeROXact;LocalResponseTimeWrXact;LocalResponseTimeROXact;LocalServiceTimeWrXact;TotalServiceTimeWrXact;LocalServiceTimeROXact;RG_WrR;RG_ROR;RG_COMMIT;wrR(postFromG);RG_totalWrR;thRG;RG_NTCB;RG_RO+NTCB;RG_WR+NTCB;BusinessLogicWrXactS;BusinessLogicROXactS;BusinessLogicWrXactR;BusinessLogicROXactR;RemoteRemoteGetServiceTime;RemoteRemoteGetResponseTime;LocalRemoteGetServiceTime;LocalRemoteGetResponseTime;CommitCommandServiceTime;CommitCommandResponseTime;PrepareCommandServiceTime;PrepareCommandResponseTime;EarlyAbortProb;PrepareLocalAbortProb;PrepareRemoteAbortProb;;LC_Cpu;LEA_Cpu;LLA_Cpu;LRA_Cpu;RC_Cpu;RA_Cpu;RO_Cpu;RemotePrepareS;RemoteCommitS;RemoteAbortS; ; ;Throughput;RdThroughput;WrThroughput;RdResponseTime;WrResponseTime;WrLocalR;WrPrepareR;WrCommitR;RemoteGetR;avgR;CpuU;ClosedCpuU;EarlyAbortP;LocalAbortP;RemoteAbortP;PredWriteProb;TO_Rtt_noWait;TO_avgCondWait; ;LocalSuxHT;LocalAbHT;RemoteSuxHT;RemoteAbHT;RemoteGetRtt;PrepareRtt;CommitSend;ConditionalWaitingTime;;PRtt;GRtt;
data/taas/REP0922_TAAS_V3_RETRY_SAME_CLASS_100000_1000_5_10/infinispan4_cloudtm_10.csv;79.109.000;2PC;10;100.000;5;1;10;0,1001046;0,1;1;1.000;1.000;5;0;10;0,95111229;243.946.616,27;1.963,89;196,6198344;1.767,27;0;7;0;0,99980225;0,9999802;1;10;9;0;0;4.867,50;5.986;5.983,90;4.630,50;0;4.744,80;5.097,40;537;398,3;0;-1;2.863;71;28,4;0;0;0;0;35.391;0;0;0;0;0;10.658,80;4.427,70;4.630,60;4.354,40;3.804,50;4.677,30;3.588,70;10.696,72;4.459,03;6.080,96;10.781,40;10.706,05;1.966,81;12,83782234;4.471,87;10.718,89;3.804,50;3.588,70;4.630,60;4.354,40;0;0;0;0;323,5;709,1;521,6;5.280,90;0;0,00019775;0;;0,091965;0;0,0000157;0;0,0122154;-1;0,63422123;45,9;30,8;51,7; ; ;2.131,27;1.917,92;213,349963;4.044,29;10.515,04;4.273,87;5.861,06;363,4110362;0;4.692,04;0,89055269;0,1098234;0;0,00000488;0,00037825;0,99961686;0;0; ;6.224,47;5.861,06;10.262,90;5.747,48;0;5.275,11;494,7685547;0;;5.097,40;0;
data/taas/REP0922_TAAS_V3_RETRY_SAME_CLASS_100000_1000_5_10/infinispan4_cloudtm_2.csv;91.927.000;2PC;2;100.000;5;1;2;0,09968705;0,1;1;1.000;1.000;5;0;2;0,98604781;171.374.405,87;515,4865413;51,38476069;464,1017806;0;0;0;1;1;1;2;1;0;0;1.776,50;2.254;2.254;0;0;1.301,50;1.834,50;174,5;0;0;-1;2.863;71;0;0;0;0;0;9.249;0;0;0;0;0;6.002;3.612,50;3.721;3.551;3.364;3.968;3.220;6.028,91;3.636,80;2.320,63;6.074,72;6.028,91;516,0939999;6,79815103;3.643,60;6.035,71;3.364;3.220;3.721;3.551;0;0;0;0;189,5;284;392;1.966,50;0;0;0;;0,10194737;0;0;0;0,00124608;-1;0,74720387;61;36;0; ; ;555,5245015;500,1459022;55,37859932;3.280,53;6.487,26;3.420,14;2.867,58;192,6622557;0;3.600,20;0,92441914;0,01641347;0;0,000017;0,00000526;0,99997774;0;0; ;3.060,24;2.867,58;9.891,55;2.469,04;0;2.469,04;172,3220825;0;;1.834,50;0;
data/taas/REP0922_TAAS_V3_RETRY_SAME_CLASS_100000_1000_5_10/infinispan4_cloudtm_20.csv;78.349.000;2PC;20;100.000;5;1;20;0,10046227;0,1;1;1.000;1.000;5;0;20;0,93820003;283.036.360,08;3.288,79;330,3799803;2.958,41;0;43;0;0,99927744;0,99992737;1;20;19;0;0;8.640,40;10.396,90;10.388,85;9.501,05;0;8.548,05;9.004,80;927,7;781,15;0;-1;2.863;71;63,9;0;0;0;0;59.468;0;0;0;0;0;15.564,50;4.966,45;5.167,45;4.883,80;3.943,05;5.034,75;3.726,15;15.613,30;5.004,35;10.463,37;15.723,95;15.631,61;3.293,81;15,69077887;5.020,04;15.647,31;3.943,05;3.726,15;5.167,45;4.883,80;0;0;0;0;407,75;1.135,40;654,1;9.219,05;0;0,00072256;0;;0,08316903;0;0,00005166;0;0,02181098;-1;0,55117371;44,6;28,55;37,35; ; ;3.519,41;3.165,84;353,5676408;4.626,26;15.142,81;4.878,95;9.729,43;504,5311392;0;5.682,77;0,86710063;0,19182392;0;0,00000272;0,00097057;0,99902671;0;0; ;10.233,96;9.729,43;13.017,92;9.201,12;0;8.920,08;970,4514771;0;;9.004,80;0;
data/taas/REP0922_TAAS_V3_RETRY_SAME_CLASS_100000_1000_5_10/infinispan4_cloudtm_4.csv;90.035.000;2PC;4;100.000;5;1;4;0,10015379;0,1;1;1.000;1.000;5;0;4;0,98123412;197.105.576,80;954,8183149;95,63016853;859,1881464;0;1;0;0,99976767;0,99997673;1;4;3;0;0;2.440,50;3.224;3.224;2.154;0;2.180,25;2.624;332,75;517;0;-1;2.863;71;71;0;0;0;0;17.213;0;0;0;0;0;7.236,75;3.816,75;3.979,75;3.753;3.481;4.193,75;3.275,75;7.263,86;3.841,04;3.296,96;7.318,07;7.264,28;956,0478065;7,95164114;3.848,99;7.272,23;3.481;3.275,75;3.979,75;3.753;0;0;0;0;249,25;456,5;440,75;2.771;0;0,00005809;0;;0,10026225;0;0,00000544;0;0,00466645;-1;0,70362139;53,25;33,5;0; ; ;1.039,28;935,189972;104,0875856;3.439,97;7.522,26;3.647,06;3.605,45;261,140401;0;3.848,83;0,914672;0,0455326;0;0,00001167;0,0000841;0,99990423;0;0; ;3.866,59;3.605,45;9.627,48;3.143,68;0;3.143,68;298,5256958;0;;2.624;0;
data/taas/REP0922_TAAS_V3_RETRY_SAME_CLASS_100000_1000_5_10/infinispan4_cloudtm_40.csv;64.355.000;2PC;40;100.000;5;1;40;0,09993458;0,1;1;1.000;1.000;5;0;40;0,92841735;266.917.513,89;5.168,97;516,4803602;4.652,49;0;153;0;0,99835694;0,99983558;1;40;39;0;0;14.561,78;17.976,93;17.967;7.720,60;0;14.474,70;15.446,58;1.937,45;1.977,95;0;-1;2.863;71;69,225;0;0;0;0;92.966;0;0;0;0;0;24.080,30;5.841,25;6.080,10;5.738,58;4.159,43;5.766,25;3.927,18;24.150,19;5.897,02;18.087,13;24.323,69;24.196,60;5.177,47;24,26587409;5.921,29;24.220,90;4.159,43;3.927,18;6.080,10;5.738,58;0;0;0;0;612,6;2.205,23;952,1;15.731,88;0;0,00164306;0;;0,07445387;0;0,00010086;0;0,0346754;-1;0,45677855;41,625;29;34,175; ; ;5.361,44;4.825,65;535,7934303;5.615,19;24.082,14;5.921,57;17.208,82;872,1287589;0;7.460,68;0,84592736;0,29758078;0;0,00000157;0,00238794;0,99761049;0;0; ;18.080,95;17.208,82;19.368,75;16.075,17;0;15.853,36;1.971,53;0;;15.446,58;0;
data/taas/REP0922_TAAS_V3_RETRY_SAME_CLASS_100000_1000_5_10/infinispan4_cloudtm_6.csv;96.146.000;2PC;6;100.000;5;1;6;0,100592;0,1;1;1.000;1.000;5;0;6;0,96672276;215.788.739,20;1.308,03;131,5855264;1.176,45;0;2;0;0,99991557;0,99999151;1;6;5;0;0;3.239,50;4.167,67;4.166,83;21.552;0;3.053,83;3.488,17;390,8333333;111,1666667;0;-1;2.863;71;23,66666667;0;0;0;0;23.685;0;0;0;0;0;8.508,67;4.116,50;4.289,17;4.050,50;3.653,50;4.436,50;3.455,83;8.540,67;4.143,95;4.266,38;8.548,79;8.542,42;1.308,22;8,88478242;4.152,83;8.551,30;3.653,50;3.455,83;4.289,17;4.050,50;0;0;0;0;279,6666667;530,1666667;478,8333333;3.656,33;0;0,00008443;0;;0,09729653;0;0,00000698;0;0,00785858;-1;0,67760101;51;35;66,83333333; ; ;1.424,02;1.280,78;143,2451544;3.723,25;8.596,09;3.926,82;4.358,25;300,5887544;0;4.213,42;0,90829582;0,06960369;0;0,00000812;0,00018169;0,99981018;0;0; ;4.658,84;4.358,25;9.852,05;4.572,39;0;3.843,60;366,6859436;0;;3.488,17;0;
data/taas/REP0922_TAAS_V3_RETRY_SAME_CLASS_100000_1000_5_10/infinispan4_cloudtm_60.csv;56.083.000;2PC;60;100.000;5;1;60;0,09988872;0,1;1;1.000;1.000;5;0;60;0,93148619;291.115.265,86;6.424,40;641,7128639;5.782,68;0;394;0;0,99660066;0,99965941;1;60;59;0;0;19.713,23;25.065,33;25.051,73;9.749,47;0;19.623,07;21.199,13;3.086,13;3.389,53;0;-1;2.863;71;71;0;0;0;0;115.511;0;0;0;0;0;32.052,18;6.703,87;6.982,40;6.573,30;4.388,60;6.558,25;4.135,75;32.142,34;6.776,30;25.184,01;32.435,89;32.262,48;6.436,33;33,97792439;6.810,27;32.296,58;4.388,60;4.135,75;6.982,40;6.573,30;0;0;0;0;835,2833333;3.426,25;1.282,92;21.562,83;0;0,00339934;0;;0,07014189;0;0,00019003;0;0,04623764;-1;0,39859547;42,98333333;31,53333333;37,23333333; ; ;6.555,98;5.901,11;654,8683339;6.593,91;32.202,83;6.960,99;23.762,82;1.324,89;0;9.151,95;0,84514551;0,36954372;0;0,00000112;0,00390052;0,99609836;0;0; ;25.087,70;23.762,82;25.234,33;21.968,36;0;21.727,92;3.224,59;0;;21.199,13;0;
data/taas/REP0922_TAAS_V3_RETRY_SAME_CLASS_100000_1000_5_10/infinispan4_cloudtm_80.csv;46.281.000;2PC;80;100.000;5;1;80;0,0997923;0,1;1;1.000;1.000;5;0;80;0,93491526;304.989.597,59;7.262,83;724,7438791;6.538,09;0;586;0;0,99552815;0,99955196;1;80;79;0;0;19.293,28;24.792,66;24.777,79;9.537,43;0;19.223,51;27.632,89;4.252,83;4.624,83;0;-1;2.863;71;71;0;0;0;0;130.456;0;0;0;0;0;40.743,58;7.594,59;7.908,71;7.422,40;4.676,96;7.334,81;4.395,60;40.854,29;7.684,39;32.973,49;41.059,69;41.058,36;7.262,92;44,79739804;7.729,19;41.103,36;4.676,96;4.395,60;7.908,71;7.422,40;0;0;0;0;1.007,91;4.679,38;1.591,96;28.061,10;0;0,00447185;0;;0,06644826;0;0,00023033;0;0,0544542;-1;0,35923531;44,5375;32,5125;39,9125; ; ;7.361,38;6.626,77;734,6085532;7.598,24;40.359,27;8.036,93;30.335,95;1.732,01;0;10.867,53;0,84638503;0,41806637;0;0,00000088;0,00545818;0,99454095;0;0; ;32.067,96;30.335,95;31.145,13;27.860,13;0;27.600,31;4.342,63;0;;27.632,89;0;
data/taas/REP0922_TAAS_V3_RETRY_SAME_CLASS_100000_1000_5_10/infinispan4_cloudtm_99.csv;43.429.000;2PC;99;100.000;5;1;99;0,10007121;0,1;1;1.000;1.000;5;0;99;0,93591312;306.639.092,57;7.511,79;751,6931288;6.760,10;0;920;0;0,99324667;0,99932007;1;99;98;0;0;20.860,11;27.187,47;27.176,90;14.791,99;0;20.797,83;36.918,76;6.056,82;6.452,97;0;-1;2.863;71;71;0;0;0;0;135.309;0;0;0;0;0;53.144;8.687,17;9.043,04;8.478,38;4.961,28;8.135,63;4.661,31;53.283,53;8.796,54;44.283,98;52.592,70;53.676,04;7.450,51;53,94306294;8.850,49;53.730,35;4.961,28;4.661,31;9.043,04;8.478,38;0;0;0;0;1.196,66;6.570,29;1.913,26;37.418,82;0;0,00675333;0;;0,06177267;0;0,00031645;0;0,06150105;-1;0,31829233;48,07070707;35,42424242;43,17171717; ; ;7.579,44;6.820,96;758,4839702;8.386,47;55.104,95;8.868,75;43.626,65;2.139,13;0;13.061,65;0,82310591;0,44058844;0;0,00000083;0,00792031;0,99207887;0;0; ;45.765,79;43.626,65;43.304,82;40.450,57;0;40.206,52;6.182,85;0;;36.918,76;0;
data/taas/REP0922_TAAS_V3_RETRY_SAME_CLASS_100000_1000_5_5/infinispan4_cloudtm_10.csv;82.569.000;2PC;10;100.000;5;1;10;0,05007023;0,05;1;1.000;1.000;5;0;10;0,97832037;199.002.220,59;2.234,28;111,8581034;2.122,43;0;1;0;0,99950357;0,99997514;1;10;9;0;0;4.684;5.911,60;5.905,20;38.874;0;4.547,10;4.952,60;591,5;1.459;0;-1;2.863;71;71;0;0;0;0;20.134;0;0;0;0;0;10.279,50;4.137,50;4.320,80;4.069,10;3.712,90;4.713,80;3.485,70;10.315,33;4.164,92;6.003,94;10.371,91;10.317,59;2.235,64;8,82025096;4.173,74;10.326,41;3.712,90;3.485,70;4.320,80;4.069,10;0;0;0;0;364,3;766,9;608,6;5.154,20;0;0,00004966;0;;0,05272767;0;0,00000244;0;0,00774673;-1;0,73981407;50,5;35;93,3; ; ;2.460,31;2.337,12;123,1882384;3.735,24;10.311,87;3.969,31;5.941,46;389,4579109;0;4.064,53;0,93245927;0,06459725;0;0,00000371;0,00028253;0,99971377;0;0; ;6.330,92;5.941,46;13.441,47;6.672,22;0;5.290,83;638,1248169;0;;4.952,60;0;
